1,中国军网,老兵泪奔：这是我妈做的！...,626.0 万,10.0 万,8.7 万,2019-02-11 21:39:56.751407
2,何炅,拜年拜年,489.4 万,7.8 万,9428,2019-02-11 21:39:56.752397
3,潘长江,初来乍到！不是太懂！谢谢...,416.5 万,11.3 万,1.8 万,2019-02-11 21:39:56.752397
4,MONC,3,334.4 万,8.8 万,15.6 万,2019-02-11 21:39:56.752397
5,人民日报,习近平看望慰问国旗中队官...,302.3 万,5.0 万,4.2 万,2019-02-11 21:39:56.752397
6,回到过去,这禁放烟花把我给逼的,301.6 万,8.5 万,17.8 万,2019-02-11 21:39:56.752397
7,成都大熊猫繁育研究基地,醒醒吧！您的假期余额不足...,300.0 万,6.1 万,12.4 万,2019-02-11 21:39:56.752397
8,马可馨,为什么泰国街头魔术师一千...,296.4 万,5.9 万,2.5 万,2019-02-11 21:39:56.752397
9,皮皮虾APP,#皮这一下有几分 #情感...,294.2 万,8.4 万,9.0 万,2019-02-11 21:39:56.752397
10,杭州交通918,1200多万的迈巴赫倒车...,291.0 万,10.0 万,9.2 万,2019-02-11 21:39:56.752397
11,钢铁侠的发小Mr X,听说过年再发这个可以火，...,288.8 万,6.2 万,12.2 万,2019-02-11 21:40:04.451667
12,不驯男人王鑫,刚刚的事，看一次笑一次，...,288.8 万,8.6 万,18.6 万,2019-02-11 21:40:04.451667
13,环球网,温馨一幕！小女孩对礼让小...,287.2 万,6.5 万,3.1 万,2019-02-11 21:40:04.451667
14,尼格买提,满足大家对春晚主持人的要...,285.5 万,6.2 万,11.2 万,2019-02-11 21:40:04.451667
15,孝城特警,元宵将至，请文明燃放烟花...,283.9 万,4.7 万,8.5 万,2019-02-11 21:40:04.451667
16,王鹏宇在努力,好久没有这样被盘盘盘盘过...,280.7 万,5.9 万,4.2 万,2019-02-11 21:40:04.451667
17,小豪,秘密基地2来了，希望你们...,280.4 万,5.6 万,4.8 万,2019-02-11 21:40:04.451667
